x_coord,y_coord,z_coord,HDBSCAN_cluster,stage,stage_category,health_status
-22.207333,2.4760242,-0.5181452,2,F1,Healthy,Healthy
-15.755485,13.19096,15.225798,2,F1,Healthy,Healthy
-15.374283,1.1990582,15.737299,2,F1,Healthy,Healthy
-14.091106,-6.152207,-14.855485,2,F1,Healthy,Healthy
-20.269669,14.540569,2.5897448,2,F1,Healthy,Healthy
-18.388166,15.8785095,4.294429,2,F1,Healthy,Healthy
-12.313209,-6.7258124,-15.42244,2,F1,Healthy,Healthy
-12.22938,-0.322524,-10.36266,2,F1,Healthy,Healthy
-8.834767,3.675174,10.476984,2,F1,Healthy,Healthy
-10.738897,-14.306215,-13.788855,2,F1,Healthy,Healthy
0.4560254,14.738077,-1.0380142,2,F1,Healthy,Healthy
-2.5051818,-4.4488244,-19.493723,2,F1,Healthy,Healthy
-19.3343,7.569057,11.551947,2,F1,Healthy,Healthy
-5.363879,-9.147752,-13.33045,2,F1,Healthy,Healthy
-21.965134,6.6505795,0.48117295,2,F1,Healthy,Healthy
-9.239288,3.527645,-7.9179406,2,F1,Healthy,Healthy
-16.422287,9.022477,-7.9120975,2,F1,Healthy,Healthy
-9.580689,-9.291505,-9.156897,2,F1,Healthy,Healthy
-17.088331,6.890149,8.161706,2,F1,Healthy,Healthy
-2.7285414,-5.141614,-18.293795,2,F1,Healthy,Healthy
-20.814713,13.16313,0.98891795,2,F1,Healthy,Healthy
-13.005021,-3.3874528,-7.226717,2,F1,Healthy,Healthy
-21.242832,11.546427,7.9680023,2,F1,Healthy,Healthy
-12.438603,-9.581719,-10.013541,2,F1,Healthy,Healthy
-9.591173,-2.4688232,-14.048211,2,F1,Healthy,Healthy
-17.312025,8.910091,8.664396,2,F1,Healthy,Healthy
-9.700901,-4.947858,-17.494688,2,F1,Healthy,Healthy
-6.162257,-8.100953,-14.369671,2,F1,Healthy,Healthy
-1.389752,15.416874,-7.372983,2,F1,Healthy,Healthy
-16.214151,-4.182117,-11.54092,2,F1,Healthy,Healthy
-10.978756,-6.2359133,-13.762775,2,F1,Healthy,Healthy
-7.9442973,18.884735,3.7991037,2,F1,Healthy,Healthy
-18.596048,-5.5596514,-10.713024,2,F1,Healthy,Healthy
-22.786688,6.903546,-3.8471127,2,F1,Healthy,Healthy
-14.509922,1.9599565,-6.915325,2,F1,Healthy,Healthy
-11.295833,5.045855,15.811053,2,F1,Healthy,Healthy
-13.776627,0.49372986,18.511917,2,F1,Healthy,Healthy
